id,title,creation_date,content,supervisor_id,scientific_validated,administr_validated,is_taken,program_id
36,Geological Engineer,9/14/2020,orci luctus et ultrices posuere cubilia curae donec pharetra magna,1,false,false,false,3
37,VP Marketing,6/10/2020,"",3,false,false,false,1
38,Design Engineer,12/8/2019,ullamcorper augue a,4,false,false,false,4
39,Computer Systems Analyst III,8/30/2020,fusce congue diam id ornare imperdiet sapien urna,2,false,false,false,3
40,Senior Editor,8/26/2020,orci luctus et ultrices posuere cubilia curae donec pharetra,5,false,false,false,1
41,Marketing Manager,1/8/2020,malesuada in imperdiet et commodo vulputate justo in,3,false,false,false,5
42,Biostatistician I,9/4/2020,odio condimentum id luctus nec molestie,5,false,false,false,5
43,Director of Sales,4/22/2020,sed sagittis nam congue risus semper porta,3,false,false,false,3
44,Registered Nurse,7/21/2020,non lectus aliquam sit amet,3,false,false,false,1
45,Quality Engineer,4/21/2020,in quis justo maecenas rhoncus aliquam lacus morbi quis,2,false,false,false,4
46,VP Quality Control,2/21/2020,maecenas ut,4,false,false,false,4
47,Librarian,1/15/2020,lobortis ligula sit amet eleifend pede,4,false,false,false,2
48,Staff Scientist,1/5/2020,adipiscing elit proin interdum mauris non,5,false,false,false,1
49,Desktop Support Technician,3/1/2020,vel sem sed sagittis nam,3,false,false,false,1
50,Assistant Manager,11/30/2020,congue diam,3,false,false,false,1
51,Senior Sales Associate,7/25/2020,non pretium quis lectus suspendisse potenti in eleifend,3,false,false,false,1
52,Librarian,9/5/2020,dis parturient,4,false,false,false,4
53,Geologist II,10/6/2020,rutrum nulla nunc purus,5,false,false,false,1
54,Product Engineer,9/1/2020,cursus id turpis integer aliquet massa id lobortis convallis tortor,1,false,false,false,5
55,Systems Administrator II,10/27/2020,duis aliquam convallis nunc proin,3,false,false,false,1
56,Registered Nurse,12/23/2019,vestibulum,4,false,false,false,1
57,Mechanical Systems Engineer,4/28/2020,at,3,false,false,false,5
58,Associate Professor,6/25/2020,suspendisse potenti in eleifend quam a odio,5,false,false,false,2
59,Senior Quality Engineer,12/13/2019,vehicula consequat morbi a ipsum integer a nibh in,2,false,false,false,2
60,Marketing Assistant,11/29/2020,vel augue,2,false,false,false,3
61,Software Consultant,4/29/2020,donec quis orci eget orci vehicula condimentum curabitur in,2,false,false,false,5
62,Civil Engineer,12/22/2019,interdum in ante vestibulum ante ipsum primis in faucibus orci,4,false,false,false,4
63,Statistician II,2/14/2020,in felis eu,5,false,false,false,5
64,Chemical Engineer,7/27/2020,aliquet at feugiat non pretium quis lectus suspendisse,2,false,false,false,4
65,Media Manager IV,8/14/2020,in tempor turpis nec euismod scelerisque quam turpis,5,false,false,false,3
66,Media Manager II,2/26/2020,sollicitudin,4,false,false,false,1
67,Analyst Programmer,8/26/2020,in blandit ultrices enim lorem ipsum dolor,5,false,false,false,2
68,Web Developer I,1/25/2020,mollis molestie lorem quisque,5,false,false,false,3
69,Human Resources Manager,9/7/2020,tincidunt in leo,5,false,false,false,4
70,Office Assistant I,10/14/2020,congue diam id ornare imperdiet sapien urna pretium nisl,2,false,false,false,3
71,Software Engineer II,6/6/2020,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,1,false,false,false,2
72,VP Accounting,12/17/2019,proin at turpis a pede posuere nonummy integer,3,false,false,false,5
73,Social Worker,11/5/2020,amet eleifend pede libero quis orci nullam molestie nibh in,1,false,false,false,3
74,Project Manager,11/26/2020,ac,1,false,false,false,3
75,Financial Advisor,1/22/2020,imperdiet sapien urna pretium nisl ut volutpat sapien arcu,1,false,false,false,3
76,Paralegal,3/30/2020,non ligula pellentesque ultrices,4,false,false,false,3
77,Quality Engineer,2/5/2020,"",5,false,false,false,5
78,Recruiting Manager,8/12/2020,enim lorem ipsum dolor sit amet consectetuer adipiscing,4,false,false,false,5
79,Project Manager,12/5/2019,potenti cras in purus,2,false,false,false,2
80,General Manager,8/7/2020,nisl duis bibendum felis sed interdum venenatis,3,false,false,false,4
81,Operator,4/30/2020,in hac,1,false,false,false,3
82,Environmental Specialist,3/9/2020,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,1,false,false,false,3
83,Administrative Officer,2/3/2020,eget,2,false,false,false,3
84,Nurse Practicioner,5/18/2020,"",3,false,false,false,1
85,Information Systems Manager,11/21/2020,eros vestibulum ac est lacinia,5,false,false,false,1
86,Recruiting Manager,1/28/2020,amet diam,5,false,false,false,4
87,Financial Analyst,8/18/2020,enim lorem ipsum dolor sit amet consectetuer,5,false,false,false,4
88,Account Executive,11/28/2020,fusce consequat nulla nisl nunc nisl duis,1,false,false,false,1
89,Senior Editor,11/5/2020,"",4,false,false,false,1
90,Administrative Officer,4/26/2020,amet consectetuer adipiscing elit proin interdum mauris non ligula,2,false,false,false,4
91,Automation Specialist I,3/24/2020,ligula sit amet eleifend pede libero quis orci nullam molestie,4,false,false,false,3
92,Office Assistant I,9/8/2020,justo maecenas rhoncus aliquam lacus morbi quis tortor,3,false,false,false,2
93,Nurse Practicioner,11/10/2020,montes nascetur ridiculus mus,5,false,false,false,5
94,Clinical Specialist,5/29/2020,neque duis bibendum morbi non quam nec dui luctus rutrum,2,false,false,false,5
95,Automation Specialist I,2/16/2020,tempor turpis nec euismod scelerisque quam turpis,5,false,false,false,5
96,Automation Specialist IV,6/8/2020,orci luctus et ultrices posuere cubilia curae,4,false,false,false,5
97,Analyst Programmer,2/23/2020,ipsum primis in faucibus orci luctus,2,false,false,false,4
98,Help Desk Operator,10/14/2020,nulla ut erat id mauris vulputate elementum,1,false,false,false,3
99,Geologist IV,2/4/2020,faucibus orci,3,false,false,false,2
100,Systems Administrator III,7/15/2020,et magnis dis parturient montes nascetur ridiculus mus vivamus,2,false,false,false,2
